# Derived from /data/raw/Snia.txt to include only redshift, magnitude and magnitude error in a .csv format
0.24649,21.16055,0.10805
0.24805,20.98175,0.13435
0.24828,21.1261,0.1388
0.24832,21.09655,0.1326
0.24849,21.19025,0.14705
0.24862,21.2028,0.13995
0.2488,21.1327,0.1596
0.249,21.02715,0.11585
0.24931,21.38165,0.1409
0.24943,21.0769,0.14445
0.24954,21.1676,0.1247
0.24999,21.20115,0.13305
0.25001,21.3768,0.1625
0.2501,21.2982,0.13225
0.25012,21.1135,0.14315
0.2505,21.1763,0.1114
0.25051,21.0268,0.13165
0.25085,21.4064,0.1659
0.25149,21.209,0.1266
0.25163,21.2338,0.1462
0.25218,21.1678,0.16095
0.25249,21.20755,0.11325
0.2534,21.09145,0.11245
0.25577,21.3344,0.1818
0.25626,21.2564,0.16145
0.25641,21.2758,0.1749
0.25654,21.13985,0.14805
0.2569,21.34695,0.16715
0.25693,21.2741,0.1446
0.2574,21.37115,0.15
0.25769,21.2775,0.14285
0.25848,21.13905,0.14085
0.26043,21.31275,0.1521
0.26051,21.22765,0.12265
0.26088,21.3572,0.14225
0.2611,21.2036,0.13865
0.26132,21.4559,0.17885
0.26136,21.1668,0.15835
0.26199,21.15835,0.1082
0.26312,21.391,0.1313
0.26318,21.3576,0.14295
0.26327,21.035,0.1514
0.26349,21.15515,0.1079
0.26377,21.2679,0.15695
0.26388,21.064,0.1418
0.26388,21.2319,0.12955
0.26419,21.45355,0.1665
0.2646,21.2449,0.1389
0.2655,21.0609,0.1301
0.26658,21.33225,0.14765
0.26801,21.22475,0.16715
0.26826,21.4883,0.15275
0.26828,21.39935,0.16265
0.26848,21.34225,0.14435
0.26849,21.24725,0.1051
0.26862,21.1762,0.0993
0.26991,21.2859,0.12695
0.27001,21.36745,0.13725
0.27047,21.2356,0.1242
0.27057,21.3419,0.169
0.27088,21.22425,0.12
0.27131,21.30945,0.10785
0.27307,21.30625,0.14505
0.27446,21.3734,0.1525
0.27509,21.2869,0.11615
0.27509,21.50715,0.1382
0.27511,21.37075,0.15505
0.2754,21.4485,0.153
0.27631,21.62545,0.19055
0.27716,21.8807,0.2055
0.27805,21.3866,0.13915
0.279,21.50115,0.13265
0.27946,21.2773,0.1398
0.27989,21.2969,0.11365
0.28051,21.3787,0.11055
0.28251,21.5746,0.1073
0.28313,21.4441,0.13595
0.2836,21.40915,0.1028
0.28397,21.3163,0.1146
0.284,21.474,0.15145
0.28403,21.2982,0.13635
0.28509,21.60225,0.15435
0.2854,21.2265,0.12315
0.28546,21.46645,0.1395
0.28578,21.43725,0.1358
0.28622,21.42305,0.15585
0.28631,21.6827,0.1504
0.28707,21.45405,0.14295
0.28712,21.2668,0.1491
0.28845,21.4826,0.1256
0.28854,21.5295,0.1639
0.2896,21.715,0.1649
0.29003,21.3714,0.15315
0.2902,21.4412,0.13835
0.2908,21.236,0.14645
0.2909,21.30595,0.15955
0.29121,21.51945,0.1501
0.29172,21.47215,0.12535
0.29212,21.17535,0.1226
0.29245,21.4687,0.1649
0.29282,21.4896,0.1351
0.29291,21.54425,0.1708
0.29318,21.57975,0.1437
0.29532,21.7708,0.1925
0.2956,21.7291,0.123
0.29649,21.4449,0.1446
0.29843,21.99485,0.16045
0.29859,21.66705,0.1633
0.2988,21.39335,0.16425
0.29911,21.51975,0.1301
0.29948,21.70345,0.1614
0.30004,21.4204,0.15885
0.30006,21.62535,0.16525
0.30012,21.71085,0.11935
0.30078,21.91835,0.1704
0.30143,21.81235,0.1445
0.30156,21.5859,0.13495
0.30158,21.64245,0.0939
0.30249,21.6135,0.15825
0.30317,21.872,0.13765
0.30337,21.66825,0.11865
0.30369,21.49625,0.135
0.30525,21.64295,0.1129
0.30538,21.3803,0.19765
0.30549,21.6995,0.13305
0.30567,21.68485,0.12015
0.30617,21.77705,0.16135
0.30642,21.6875,0.1493
0.30666,21.88165,0.1627
0.30801,21.95175,0.1182
0.3088,21.83605,0.15525
0.30894,21.72385,0.1693
0.309,21.8114,0.19685
0.3092,21.58775,0.1462
0.31032,21.45975,0.15795
0.31079,21.81735,0.13845
0.31156,21.7417,0.10825
0.31262,21.63085,0.14295
0.31353,21.8225,0.14945
0.31437,21.3618,0.137
0.31468,21.8201,0.1572
0.3148,21.9041,0.12485
0.31555,21.7168,0.15355
0.31579,21.9342,0.1522
0.31774,21.8387,0.1521
0.31811,21.8116,0.12465
0.31841,22.0816,0.21085
0.31894,21.66595,0.15665
0.31894,21.9169,0.137
0.32007,21.6956,0.1358
0.32092,22.0192,0.15495
0.32095,21.71485,0.1245
0.32218,21.54775,0.14025
0.32454,21.79365,0.10225
0.32529,21.9051,0.1809
0.32531,21.96765,0.14105
0.32553,21.91925,0.1384
0.32601,21.6733,0.1464
0.32753,21.80515,0.13855
0.32832,21.97245,0.18155
0.3284,22.1329,0.16575
0.32841,21.6655,0.17245
0.32891,22.21015,0.20955
0.32944,21.65335,0.14295
0.32944,21.9869,0.11895
0.33015,21.9321,0.1589
0.33059,21.9984,0.1153
0.3306,21.98705,0.15615
0.3307,21.82885,0.1481
0.33081,21.7726,0.15595
0.33094,21.7829,0.10685
0.33096,22.03,0.19055
0.33159,21.7689,0.1401
0.33159,21.831,0.11675
0.3318,21.7581,0.12005
0.33293,22.0508,0.14375
0.33398,21.9349,0.1592
0.33493,21.74575,0.1129
0.33742,21.74045,0.14605
0.33748,21.8791,0.16625
0.33753,21.9137,0.10655
0.33829,21.91315,0.151
0.33848,21.88335,0.13905
0.3385,21.7897,0.1618
0.34052,21.9463,0.10555
0.34092,21.88785,0.1485
0.3416,21.88605,0.16925
0.34546,21.9593,0.1626
0.34593,22.11525,0.111
0.34688,22.23255,0.2533
0.34701,21.7912,0.14045
0.34872,22.1162,0.13315
0.34902,21.98165,0.1223
0.34923,21.8575,0.11575
0.34931,22.02925,0.13805
0.34957,21.74,0.12
0.34957,22.14445,0.11065
0.3507,21.9623,0.10725
0.35092,22.00245,0.1283
0.35157,22.2272,0.1136
0.35161,22.05965,0.1158
0.35306,21.81675,0.1515
0.35363,22.1458,0.14555
0.35527,22.23665,0.113
0.35582,22.05915,0.12645
0.35833,21.9694,0.11425
0.35858,21.95965,0.1186
0.35902,22.19585,0.1342
0.36001,21.92755,0.1335
0.3602,21.8702,0.1604
0.36082,22.1621,0.14215
0.36135,21.9082,0.2036
0.36165,22.1744,0.1645
0.36491,22.2065,0.1423
0.36616,21.88675,0.1841
0.36646,22.0067,0.1243
0.36783,21.9904,0.12345
0.36791,22.24455,0.1019
0.36924,22.26255,0.14325
0.36939,22.04745,0.1558
0.37003,22.46065,0.1636
0.37013,22.10035,0.1358
0.3705,22.15255,0.1043
0.37051,21.7944,0.11375
0.37053,22.04575,0.11295
0.3706,22.1401,0.1211
0.37089,22.13805,0.26375
0.37144,22.28785,0.1245
0.3715,22.20135,0.10745
0.37164,22.12745,0.10645
0.3735,22.11185,0.1039
0.37386,22.3047,0.0854
0.3786,22.21555,0.1463
0.37949,22.13745,0.1395
0.3799,22.18215,0.1306
0.38003,22.03255,0.1506
0.38054,22.1535,0.1307
0.38083,22.2063,0.1382
0.38164,22.52675,0.14085
0.38171,22.31495,0.143
0.38246,22.18595,0.1824
0.38447,22.40575,0.14945
0.38598,22.28245,0.126
0.38734,22.2944,0.18525
0.38775,22.3891,0.15885
0.38887,22.11805,0.14095
0.39267,22.18855,0.1588
0.40048,22.2601,0.1151
0.40078,22.165,0.1348
0.4008,22.30585,0.1602
0.40214,22.2536,0.149
0.40455,22.44625,0.1075
0.40471,22.12805,0.15365
0.40547,22.564,0.11045
0.40927,22.48095,0.19045
0.40946,22.451,0.10895
0.40996,22.4668,0.20545
0.41131,22.5817,0.15385
0.41155,22.6089,0.1289
0.41664,22.5154,0.11755
0.41865,22.38625,0.1152
0.41929,22.4583,0.14905
0.4193,22.16135,0.152
0.41957,22.59095,0.12095
0.42028,22.49015,0.2331
0.42086,22.47585,0.16245
0.42244,22.35675,0.1192
0.42353,22.599,0.2655
0.42359,22.37855,0.1425
0.42693,22.5594,0.1627
0.42696,22.6189,0.15295
0.42784,23.03515,0.17065
0.42866,22.751,0.1294
0.42886,22.4792,0.1471
0.42967,22.75515,0.1527
0.43015,22.5444,0.12545
0.43487,22.5623,0.1145
0.43544,22.36675,0.109
0.43673,22.84545,0.14185
0.43885,22.46285,0.19185
0.43927,22.56615,0.132
0.44007,22.85455,0.16925
0.44058,22.4238,0.13695
0.44255,22.67285,0.1137
0.44368,22.57415,0.1349
0.44758,22.59905,0.1524
0.44956,22.78895,0.14135
0.45059,22.4503,0.1316
0.4507,22.6586,0.15475
0.45155,22.4159,0.12515
0.45169,22.36265,0.1377
0.45173,22.72345,0.12465
0.4604,22.8011,0.14725
0.46101,22.75035,0.16435
0.46127,22.62945,0.13775
0.46156,22.76265,0.11115
0.4664,23.21635,0.1587
0.46664,22.7822,0.11645
0.4684,22.73255,0.11785
0.47039,23.1005,0.141
0.47057,22.804,0.1221
0.47058,22.65205,0.12925
0.47175,22.70965,0.15
0.47572,22.6952,0.109
0.47796,22.9261,0.1649
0.47942,22.6131,0.1463
0.4804,22.68865,0.17225
0.48057,22.7752,0.1151
0.48072,22.74835,0.1138
0.48176,23.0166,0.15415
0.48881,22.8653,0.1136
0.4948,22.8802,0.11765
0.49737,22.9275,0.13225
0.50074,23.0505,0.13595
0.50091,22.9717,0.1963
0.50275,22.89585,0.20855
0.50276,22.81425,0.2082
0.50309,22.93445,0.12605
0.50718,22.9937,0.1404
0.50736,22.9705,0.1253
0.50818,22.7793,0.14135
0.51002,22.84675,0.1182
0.5109,22.8206,0.17305
0.51176,23.11305,0.1165
0.5138,23.12745,0.1329
0.51434,22.98745,0.11725
0.51476,23.18845,0.1355
0.51559,23.02365,0.1762
0.51879,22.9578,0.1518
0.51941,22.97595,0.19605
0.51961,23.03865,0.109
0.52278,23.15915,0.14165
0.52851,22.8422,0.14315
0.53278,23.059,0.11385
0.53378,22.9345,0.1665
0.53433,22.9223,0.1289
0.53532,23.06945,0.11085
0.53578,22.98355,0.1266
0.54539,23.34415,0.1462
0.54831,22.8926,0.1438
0.55014,23.1391,0.14355
0.55031,23.16815,0.1249
0.5526,22.98515,0.13425
0.55381,23.2838,0.1242
0.55775,23.2494,0.1349
0.55875,23.1648,0.1335
0.55875,23.6061,0.15165
0.56276,23.2428,0.11755
0.56475,23.2891,0.13595
0.57584,23.38495,0.13845
0.57613,23.2359,0.14515
0.57661,23.2437,0.1229
0.57824,23.2802,0.1624
0.57828,23.2373,0.13895
0.57875,23.22495,0.12065
0.5796,23.1779,0.1197
0.5806,23.36785,0.1608
0.58073,23.52355,0.1372
0.58294,23.34385,0.1258
0.58328,23.6081,0.12955
0.58375,23.2686,0.09915
0.58375,23.46355,0.14025
0.58575,23.5694,0.1417
0.58728,23.44375,0.14055
0.58873,23.30085,0.13005
0.59027,23.3354,0.1666
0.59185,23.2429,0.12625
0.6006,23.4022,0.15455
0.60326,23.58805,0.1429
0.60825,23.3767,0.1266
0.60987,23.5447,0.14865
0.61064,23.47615,0.1329
0.61124,23.7392,0.1593
0.6157,23.56625,0.1433
0.61992,23.4834,0.1156
0.62063,23.5114,0.1131
0.62189,23.4108,0.1628
0.62522,23.46015,0.1303
0.62723,23.4134,0.138
0.63056,23.3169,0.11795
0.63071,23.4092,0.1432
0.6319,23.1617,0.17705
0.63222,23.66065,0.20445
0.63771,23.37,0.2329
0.63822,23.49005,0.184
0.64191,23.62155,0.1659
0.64364,23.6045,0.2013
0.64364,23.60755,0.1943
0.64764,23.6259,0.1613
0.64864,23.53665,0.159
0.66206,23.74875,0.17955
0.66464,23.6337,0.1611
0.67065,23.78495,0.1775
0.67767,24.0377,0.2056
0.68196,23.59755,0.1484
0.68366,23.9441,0.2905
0.68517,23.844,0.2326
0.68866,23.6132,0.1518
0.69065,23.7527,0.18375
0.69315,23.79645,0.24445
0.69715,23.78265,0.16195
0.69816,23.7924,0.2171
0.69915,23.77905,0.15635
0.69916,23.88895,0.1728
0.69998,23.95255,0.2153
0.70064,23.7492,0.1738
0.70115,23.90875,0.1805
0.70198,23.7115,0.26255
0.70198,23.8387,0.16475
0.71565,23.84395,0.19425
0.71868,23.68915,0.15095
0.71963,23.82525,0.2057
0.72013,24.0226,0.19335
0.72068,23.87645,0.2029
0.72668,23.90005,0.1628
0.72767,23.8687,0.19785
0.73012,23.7684,0.19115
0.73362,23.8481,0.15575
0.73401,24.04855,0.24055
0.735,23.70605,0.134
0.73501,24.09175,0.17825
0.73561,24.06925,0.19205
0.73602,24.02845,0.2108
0.73669,23.77845,0.1399
0.74,23.8446,0.12605
0.74202,24.26275,0.21515
0.7427,23.92255,0.19885
0.74566,24.00735,0.1527
0.74613,23.8056,0.16465
0.74909,23.81055,0.18275
0.75068,23.763,0.19155
0.75669,24.03965,0.1583
0.75905,24.0557,0.15165
0.7607,23.92525,0.14995
0.76108,24.05415,0.16035
0.76159,23.97575,0.15445
0.7656,24.10805,0.1549
0.7666,24.24705,0.1593
0.76668,24.2307,0.1806
0.76706,24.3849,0.17855
0.76859,24.2078,0.16885
0.77307,24.17605,0.17625
0.7766,24.0942,0.17835
0.78805,24.1069,0.13815
0.78904,24.2188,0.11585
0.79656,23.85445,0.1588
0.79857,24.3605,0.17435
0.8007,23.82255,0.1606
0.80569,24.0139,0.1301
0.80569,24.09575,0.1555
0.80603,24.2544,0.1837
0.80804,24.55735,0.16345
0.80902,24.20795,0.1668
0.81072,24.0795,0.17055
0.81369,24.26675,0.14105
0.81773,24.3431,0.12085
0.82212,24.1676,0.18525
0.82269,24.3356,0.14625
0.82854,24.39785,0.1526
0.83699,24.3054,0.1427
0.83814,24.1545,0.1807
0.83999,24.0253,0.15175
0.84053,24.22255,0.1456
0.84214,24.3261,0.1858
0.84797,24.3105,0.16975
0.84852,24.33175,0.14855
0.85073,24.31865,0.1304
0.85298,24.3052,0.1508
0.854,24.3128,0.21455
0.85851,24.4442,0.16535
0.85852,24.1237,0.1478
0.85852,24.54425,0.17845
0.86397,24.39625,0.15285
0.8645,24.3693,0.14625
0.8665,24.34685,0.17385
0.87217,24.3402,0.1332
0.87796,24.42165,0.14325
0.89073,24.1804,0.14085
0.8932,24.5781,0.1577
0.89693,24.40275,0.16645
0.90173,24.5128,0.1511
0.91075,24.6116,0.16365
0.91348,24.37895,0.13735
0.92223,24.355,0.1708
0.92224,24.57175,0.18725
0.92491,24.7416,0.1923
0.92624,24.7687,0.10935
0.9279,24.7789,0.1829
0.93189,24.54795,0.15235
0.93225,24.704,0.21015
0.93389,24.7653,0.2009
0.935,24.2666,0.1658
0.93675,24.4717,0.1405
0.94688,24.41155,0.1642
0.94846,24.66675,0.15105
0.95076,24.68515,0.14485
0.95886,24.80665,0.17245
0.96074,24.80925,0.14255
0.96075,24.5736,0.1577
0.97,25.11545,0.26175
0.9752,24.7061,0.13985
0.9833,24.78095,0.143
0.98341,24.828,0.153
0.98377,24.92305,0.1439
0.9964,24.69965,0.1408
0.99781,24.6122,0.0953
1.00279,25.0798,0.19135
1.014,24.85445,0.2291
1.02,24.88235,0.1657
1.02879,24.7289,0.16015
1.0608,24.6873,0.16415
1.092,24.63835,0.26405
1.12,25.0639,0.1649
1.206,25.73935,0.3352
1.23,25.28615,0.19155
1.23,25.4985,0.17085
1.3,25.52015,0.17875
1.305,25.2642,0.235
1.315,25.54235,0.1987
1.33,25.6034,0.1484
1.34,25.4652,0.1632
1.37,25.5159,0.1622
1.39,25.36305,0.20125
1.54,25.9072,0.21065
1.55,26.00705,0.18565
1.7,26.0592,0.2832
1.8,26.2011,0.18795
1.914,26.1609,0.2559
2.26,26.877,0.2548
